artist,album,track,uri
Jason Mraz,YES! (Commentary),Out of My Hands - Commentary,6uSsoiDS3ZG7J4N50246Ci
Bryan Adams,Reckless,This Time - Live At Hammersmith Odeon/1985,5qy53XrpzODhpjZDOHlwjE
Bersuit Vergarabat,Cinco Décadas de Rock Argentino: Quinta Década 2006 - 2016,Que Hable de Vos,6gIjtwvahp8owpNswYKGkb
Justin Bieber,Believe,Be Alright,0Ff2HEyq4Ja4Acb0n180DP
Fran Busso,Agua y Harina,Y Contarte Esto,5xaWKM09CmfM7sM1AoTl0F
Louis Tomlinson,Walls,Fearless,1yEqyvgLgjS4v5GriAevCh
Sam Fender,Hypersonic Missiles,White Privilege,21BWtfznZlw1hSicGGWVjE
Maluma,"Pretty Boy, Dirty Boy",Borro Cassette,6DUdDIRgLqCGq1DwkNWQTN
Justin Bieber,Believe,Take You,2m7DhPeRvWtFSPTVSLO8SV
Mancha De Rolando,Viaje,Calavera,5QLbG1uIdSQyiKOY69SN4v
Queen,Bohemian Rhapsody,Who Wants To Live Forever,77X4MKKCVpGSHsaErgCLzT
Jason Mraz,We Sing. We Dance. We Steal Things.,Details in the Fabric (feat. James Morrison),3tpa0xZodDk9jmEKiio1Jb
Louis Tomlinson,Walls,Two of Us,1eqwjXdMTed8Pz3PLNcHe9
Poncho,40 Principales Pop & Rock Nacionales,Una Buena Decisión,68xCqjNerUsFPqsuE9mivX
Bacilos,Grandes Exitos,Caraluna,4XTMj7kd8DHLl0r7ghmEAr
Coro Pascua Joven San Isidro,Nueva Mañana,Ave María,4avAHBUsq1WM7T7dgQBNP1
Calle 13,Entren Los Que Quieran,Outro,5NBJrDQMg6X8lpJUoCWLzC
Jason Mraz,We Sing. We Dance. We Steal Things.,Make It Mine - Live,2eA84oI2fHVrddTBEcMYR9
John Mayer,The Search for Everything - Wave One,Moving On and Getting Over,1CdEcheLJU6SgxnbFEj2WX
Jason Mraz,We Sing. We Dance. We Steal Things.,Butterfly - From the Casa Nova Sessions,4x3lPTB6wzpwA32liJXO67
Jason Mraz,YES! (Commentary),Best Friend - Commentary,1nAojYD3xNA6TU5OGVsa10
Fran Busso,Agua y Harina,Entre Libros,1lnjnRgyajyD2K54KuGAzz
SEVENTEEN,SEVENTEEN 4th Mini Album ‘Al1’,Habit,0ePDb0b1tMQlqP9u58pmcg
Jason Mraz,Love Is a Four Letter Word,Frank D. Fixer,1UJhSw5n44zThKBgWr7Es4
